"timestamp [UTC]",message,logLevel,severityLevel
"3/9/2026, 5:59:38.572 AM","Executing 'Functions.orc' (Reason='This function was programmatically called via the host APIs.', Id=126ad620-708a-482b-9b1c-26ba4794b927)",Information,1
"3/9/2026, 5:59:38.614 AM","Python HTTP trigger function processed a request.",Information,1
"3/9/2026, 5:59:38.614 AM","[orchestrator] 14ba8431-b268-45c0-a740-6852dceb0827 starting conversation flow.",Information,1
"3/9/2026, 5:59:38.710 AM","[orchestrator] customer sent an inexistent conversation_id, saving new conversation_id",Information,1
"3/9/2026, 5:59:38.774 AM","[orchestrator] executing RAG retrieval using code orchestration",Information,1
"3/9/2026, 5:59:38.777 AM","[code_orchest] starting RAG flow. What are  key rights and responsibilities of tenan",Information,1
"3/9/2026, 5:59:38.790 AM","[util__module] Small model configured: gpt-4o-mini (deployment: chat-small)",Information,1
"3/9/2026, 5:59:38.815 AM","[sk_retrieval] querying azure ai search. Azure Search Approach: hybrid",Information,1
"3/9/2026, 5:59:38.820 AM","Function Filters-ContentFliterValidator invoking.",Information,1
"3/9/2026, 5:59:38.821 AM","[sk_native_filters] querying azure openai on content filtering. user question: What are  key rights and responsibilities of tenants under the Residential Tenancies Act 2010?",Information,1
"3/9/2026, 5:59:39.976 AM","[util__module] called chat completion api in 1.150000 seconds",Information,1
"3/9/2026, 5:59:39.976 AM","[sk_native_filters] finished validating user question on filtered content. 1.15 seconds",Information,1
"3/9/2026, 5:59:39.977 AM","Function Filters-ContentFliterValidator succeeded.",Information,1
"3/9/2026, 5:59:39.979 AM","Function completed. Duration: 1.155107s",Information,1
"3/9/2026, 5:59:40.061 AM","[util__module] get_blocked_list: no blocked words list (keyvalue store with 'blocked_list' id does not exist).",Information,1
"3/9/2026, 5:59:40.066 AM","[code_orchest] finished content filter and blocklist check. 1.29 seconds.",Information,1
"3/9/2026, 5:59:40.067 AM","[code_orchest] first time talking no need to summarize.",Information,1
"3/9/2026, 5:59:40.068 AM","[code_orchest] ### STARTED checking intent. ask: What are  key rights and responsibilities of tenants under the Residential Tenancies Act 2010?",Information,1
